Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,ApplicantIncomeLog,CoapplicantIncomeLog,LoanAmountLog,Loan_Amount_TermLog,Total_IncomeLog
LP001002,Male,No,0,Graduate,No,5849,0.0,146.41216216216216,360.0,1.0,Urban,Y,5849.0,8.674025985443025,-inf,4.986425672954842,5.886104031450156,8.674025985443025
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,8.430109084509125,7.318539548567902,4.852030263919617,5.886104031450156,8.714567550836485
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,8.006367567650246,-inf,4.189654742026425,5.886104031450156,8.006367567650246
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,7.8567067930958405,7.765569081097317,4.787491742782046,5.886104031450156,8.50532301884575
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,8.699514748210191,-inf,4.948759890378168,5.886104031450156,8.699514748210191
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,8.597297435657898,8.341886969516187,5.58724865840025,5.886104031450156,9.170871628065816
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,7.75491027202143,7.323830566202317,4.553876891600541,5.886104031450156,8.255568653283746
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,8.01829613851552,7.825644732219989,5.062595033026967,5.886104031450156,8.61974977974133
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,8.295548516225763,7.330405211844402,5.123963979403259,5.886104031450156,8.61830469278465
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,9.460398455831275,9.30273722124215,5.855071922202427,5.886104031450156,10.077818939438902
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,8.070906088787819,6.551080335043404,4.248495242049359,5.886104031450156,8.268731832117737
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,7.824046010856292,7.517520850603031,4.6913478822291435,5.886104031450156,8.375629627094451
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,8.030409562130485,9.000359807188254,5.298317366548036,5.886104031450156,9.321792297270326
